ID,Text,Comment
Knatte.Corner.DisplayName,ダム飾り 三角錐,-
Knatte.Corner.Description,ダムの角に設置しよう。,-
Knatte.Corner.FlavorDescription,注意！水はせき止めない。,-

Knatte.Diagonal.DisplayName,ダム飾り 三角柱,-
Knatte.Diagonal.Description,ダムの横に設置しよう。,-
Knatte.Diagonal.FlavorDescription,注意！水はせき止めない。,-

Knatte.DiagonalS.DisplayName,ダム飾り 三角柱（足場付き）,-
Knatte.DiagonalS.Description,ダムの横に設置しよう。足場がついている。,-
Knatte.DiagonalS.FlavorDescription,注意！水はせき止めない。,-

Knatte.DiagonalW.DisplayName,堤防飾り 三角柱,-
Knatte.DiagonalW.Description,ダムの横に設置しよう。,-
Knatte.DiagonalW.FlavorDescription,ダム飾りと違って水を通さない。,-

Knatte.InvCorner.DisplayName,ダム飾り 対角線,-
Knatte.InvCorner.Description,ダムの角の内側に設置しよう。,-
Knatte.InvCorner.FlavorDescription,注意！水はせき止めない。,-

Knatte.InvCornerW.DisplayName,堤防飾り 対角線,-
Knatte.InvCornerW.Description,ダムの角の内側に設置しよう。,-
Knatte.InvCornerW.FlavorDescription,ダム飾りと違って水を通さない。,-

Knatte.Slope.DisplayName,ダム飾り 坂,-
Knatte.Slope.Description,ダムに傾斜をつけよう。,-
Knatte.Slope.FlavorDescription,注意！水はせき止めない。,-

Knatte.CornerSlope.DisplayName,ダム飾り 角の坂,-
Knatte.CornerSlope.Description,ダムの角に設置しよう。,-
Knatte.CornerSlope.FlavorDescription,注意！水はせき止めない。,-

Knatte.Square.DisplayName,ダム飾り 立方体,Decoration Cube
Knatte.Square.Description,,Dam the Square
Knatte.Square.FlavorDescription,注意！水はせき止めない。,Does not Block Water

Knatte.Square2W.DisplayName,堤防 2x2,Levee 2x2
Knatte.Square3W.DisplayName,堤防 3x3,Levee 3x3
Knatte.SquareW.Description,ダムを大きくしよう。,Dam let it be big
Knatte.SquareW.FlavorDescription,ダム飾りと違って水を通さない。,Water will not Pass

Knatte.HighDam.DisplayName,満杯ダム,High Dam
Knatte.HighDam.Description,水をせき止めるが、上部の放水口からいくらか（水位がx.85になるように）放水する。\r\n洪水が起きやすいので注意！,デフォルトのダムの説明文と対応している。Blocks water but allows less(85%) to pass through a spillway at the top.\r\nHigher risk of floods!
Knatte.HighDam.FlavorDescription,水をせき止める。,Water will not Pass

Knatte.Corner2X.DisplayName,ダム飾り 三角錐（高さ2）,-
Knatte.Corner2X.Description,ダムの角に設置しよう。,-
Knatte.Corner2X.FlavorDescription,注意！水はせき止めない。,-

Knatte.Diagonal2X.DisplayName,ダム飾り 対角線（高さ2）,-
Knatte.Diagonal2X.Description,ダムの横に設置しよう。,-
Knatte.Diagonal2X.FlavorDescription,注意！水はせき止めない。,-

Knatte.InvCornerS2X.DisplayName,足場付きダム飾り 対角線（高さ2）,-
Knatte.InvCornerS2X.Description,ダムの横に設置しよう。足場がついている。,-
Knatte.InvCornerS2X.FlavorDescription,注意！水はせき止めない。,-

Knatte.InvCorner2X.DisplayName,ダム飾り 対角線（高さ2）,-
Knatte.InvCorner2X.Description,ダムの角に設置しよう。,-
Knatte.InvCorner2X.FlavorDescription,注意！水はせき止めない。,-

Knatte.InvCornerW2X.DisplayName,堤防飾り 対角線（高さ2）,-
Knatte.InvCornerW2X.Description,ダムの角に設置しよう。,-
Knatte.InvCornerW2X.FlavorDescription,ダム飾りと違って水を通さない。,-

Knatte.Slope2X.DisplayName,ダム飾り 坂（高さ2）,-
Knatte.Slope2X.Description,ダムに傾斜をつけよう。,-
Knatte.Slope2X.FlavorDescription,注意！水はせき止めない。,-

Knatte.CornerSlope2X.DisplayName,ダム飾り 角の坂（高さ2）,-
Knatte.CornerSlope2X.Description,ダムの角に設置しよう。,-
Knatte.CornerSlope2X.FlavorDescription,注意！水はせき止めない。,-


Knatte.Pillar.DisplayName,柱,-
Knatte.Pillar.Description,ダムを盛り上げよう。,-

Knatte.Pillars.DisplayName,筋交い付きの柱,-
Knatte.Pillars.Description,ダムを盛り上げよう。,-

Knatte.Pillar_1.DisplayName,一本柱,1 Leg Pillar
Knatte.Pillar_2.DisplayName,ニ本柱,2 Leg Pillar
Knatte.Pillar_3.DisplayName,三本柱,3 Leg Pillar三脚の柱も候補だったが、三脚から連想される形ではない。
Knatte.Pillar_X.Description,柱を好きな見た目にカスタマイズできる。\r\n螺旋階段と組み合わせれば、柱を隠しつつ螺旋階段を積み重ねることができる。,Pillars to be able to get customized looks\r\nCan be combined with Staircase to hide them but get stackable.

Knatte.PillarTop.DisplayName,カスタム柱の足場,Custom Pillar Top他候補:踊り場の足場
Knatte.PillarTop.Description,カスタマイズした柱や飾り用の足場。\r\n螺旋階段と組み合わせれば、柱を隠しつつ螺旋階段を積み重ねることができる。,Top part for Custom pillars or Decoration pieces\r\nCan be combined with Staircase to hide them but get stackable.

Knatte.SlopeS.DisplayName,ダム飾り付き階段,-
Knatte.SlopeS.Description,ダムに階段をつけよう。,-
Knatte.SlopeS.FlavorDescription,注意！水はせき止めない。,-

Knatte.CategoryDam.DisplayName,ダム飾り,-
Knatte.CategoryDam.Des,注意！水はせき止めない。,-

Knatte.CategoryLevees.DisplayName,堤防とダム部品,Levee and Dam Pieces
Knatte.CategoryLevees.Des,水をせき止める。,Does Block Water

Knatte.CategoryPillar.DisplayName,Pillars and Pilar Top,-				Untranslated
Knatte.CategoryPillar.Des,Let it Rise,-							Untranslated
