ID,Text,Comment
Knatte.WaterAlarm.DisplayName,水位警報機,-
Knatte.WaterAlarm.Description,水が干上がったときに警告を発する量水標。,-
Knatte.MetalFloodgate.DisplayName,金属製の水門,-
Knatte.MetalFloodgate.Description,より大きな、上に足場を積める水門。,-

Knatte.Floodgate.DisplayName,金属製の水門,-

Knatte.MetalFloodgate2.DisplayName,金属製の水門（高さ2）,-
Knatte.MetalFloodgate3.DisplayName,金属製の水門（高さ3）,-
Knatte.MetalFloodgate4.DisplayName,金属製の水門（高さ4）,-
Knatte.MetalFloodgate5.DisplayName,金属製の水門（高さ5）,-
Knatte.MetalFloodgate6.DisplayName,金属製の水門（高さ6）,-
Knatte.MetalFloodgate7.DisplayName,金属製の水門（高さ7）,-
Knatte.MetalFloodgate8.DisplayName,金属製の水門（高さ8）,-
Knatte.MetalFloodgate9.DisplayName,金属製の水門（高さ9）,-
Knatte.MetalFloodgate10.DisplayName,金属製の水門（高さ10）,-

