ID,Text,Comment
Knatte.WaterAlarm.DisplayName,"Тревожный футшток","«» –"
Knatte.WaterAlarm.Description,"Измеряет уровень воды и скорость течения, а также подаёт тревогу в случае пересыхания.",-
Knatte.WaterAlarm.FlavorDescription,"«Футшто́к (нем. Fußstock) — уровнемер в виде рейки с делениями для наблюдения и определения уровня воды в водоёме» – словарь гидротехнических терминов под ред. Казко"


Knatte.Floodgate.DisplayName,"Усиленные шлюзы водосброса",""

Knatte.MetalFloodgate.DisplayName,"Усиленный шлюз водосброса",-
Knatte.MetalFloodgate.Description,"Шлюз водосброса с регулируемым затвором и конструкцией, усиленной металлической рамой.\nПозволяет установить платформы над блоками лебёдок.",-

Knatte.MetalFloodgate2.DisplayName,"Усиленный шлюз водосброса высотой 2",-
Knatte.MetalFloodgate3.DisplayName,"Усиленный шлюз водосброса высотой 3",-
Knatte.MetalFloodgate4.DisplayName,"Усиленный шлюз водосброса высотой 4",-
Knatte.MetalFloodgate5.DisplayName,"Усиленный шлюз водосброса высотой 5",-
Knatte.MetalFloodgate6.DisplayName,"Усиленный шлюз водосброса высотой 6",-
Knatte.MetalFloodgate7.DisplayName,"Усиленный шлюз водосброса высотой 7",-
Knatte.MetalFloodgate8.DisplayName,"Усиленный шлюз водосброса высотой 8",-
Knatte.MetalFloodgate9.DisplayName,"Усиленный шлюз водосброса высотой 9",-
Knatte.MetalFloodgate10.DisplayName,"Усиленный шлюз водосброса высотой 10",-

