ID,Text,Comment
KnatteTobbert.TinyLogPile.DisplayName,Tinylogpile,-
KnatteTobbert.TinyLogPile.Description,A Tinylogpile.,-
KnatteTobbert.TinyLogPile.FlavorDescription,That is a miniature logpile.,-
KnatteTobbert.IndustrialTinylogpile.DisplayName,Industrial Tinylogpile,-
KnatteTobbert.IndustrialTinylogpile.Description,A Industrial Tinylogpile.,-
KnatteTobbert.IndustrialTinylogpile.FlavorDescription,That is a miniature logpile.,-
KnatteTobbert.TinyMetalLogPile.DisplayName,Metal Tinylogpile,-
KnatteTobbert.TinyMetalLogPile.Description,A Metal Tinylogpile.,-
KnatteTobbert.TinyMetalLogPile.FlavorDescription,That is a miniature stacking logpile.,-

