ID,Text,Comment
KnatteTobbert.Tunnel_1.DisplayName,Tunnel 1x1
KnatteTobbert.Tunnel_2.DisplayName,Tunnel 2x1
KnatteTobbert.Tunnel_3.DisplayName,Tunnel 3x1
KnatteTobbert.Tunnel_4.DisplayName,Tunnel 4x1
KnatteTobbert.Tunnel_5.DisplayName,Tunnel 5x1
KnatteTobbert.Tunnel_6.DisplayName,Tunnel 6x1
KnatteTobbert.Tunnel_7.DisplayName,Tunnel 7x1
KnatteTobbert.Tunnel_8.DisplayName,Tunnel 8x1
KnatteTobbert.Tunnel_9.DisplayName,Tunnel 9x1

KnatteTobbert.Tunnel.Description,Ermöglicht Bibern die Durchquerung von Bergen.
KnatteTobbert.Tunnel.FlavorDiscription,"\u201EDo you know how hard it is to Model and Texture?\u201C\r\n(Wisst Ihr, wie schwer es ist,\r\nzu modellieren und zu texturieren?) \u2013 Knatte_Anka"

Knatte.CategoryTunnel.DisplayName,Tunnels
Knatte.CategoryTunnel.Description,Tunnels durch die Berge.
