ID,Text,Comment
KnatteTobbert.StaircaseRight.DisplayName,Wendeltreppe Rechts,-
KnatteTobbert.StaircaseRight.Description,Eine Treppe die nach rechts oben geht\r\n(im Uhrzeigersinn).,-
KnatteTobbert.StaircaseRight.FlavorDiscription,Das ist aber ein dicker Stamm in der Mitte.,-

KnatteTobbert.StaircaseLeft.DisplayName,Wendeltreppe Links,-
KnatteTobbert.StaircaseLeft.Description,Eine Treppe die nach links oben geht\r\n(gegen Uhrzeigersinn),-
KnatteTobbert.StaircaseLeft.FlavorDiscription,Das ist aber ein dicker Stamm in der Mitte.,-

KnatteTobbert.MetalStaircase.DisplayName,Metalltreppe,-
KnatteTobbert.MetalStaircase.Description,Eine bessere Treppe aus Metall.,-
KnatteTobbert.MetalStaircase.FlavorDiscription,Hoffentlich rostet das nicht.,-

KnatteTobbert.Staircases.DisplayName,Treppen,-

KnatteTobbert.MetalStaircaseNeed.DisplaynameLocKey,Metalltreppe,-
